Date,Close
9/1/1982,405.25
10/1/1982,402
11/1/1982,427.25
12/1/1982,440.25
1/1/1983,.
2/1/1983,508.5
3/1/1983,414
4/1/1983,.
5/1/1983,.
6/1/1983,410
7/1/1983,416.25
8/1/1983,411.25
9/1/1983,416.6
10/1/1983,389
11/1/1983,377.75
12/1/1983,399.25
1/1/1984,.
2/1/1984,378.15
3/1/1984,392.75
4/1/1984,387.2
5/1/1984,376.5
6/1/1984,393.75
7/1/1984,370
8/1/1984,339
9/1/1984,344.5
10/1/1984,345.4
11/1/1984,333.8
12/1/1984,329.5
1/1/1985,.
2/1/1985,303.6
3/1/1985,287.25
4/1/1985,321.1
5/1/1985,312.5
6/1/1985,318.1
7/1/1985,313.9
8/1/1985,322.1
9/1/1985,334.65
10/1/1985,322.25
11/1/1985,323.5
12/1/1985,321.5
1/1/1986,.
2/1/1986,347.3
3/1/1986,335.6
4/1/1986,333.1
5/1/1986,345.1
6/1/1986,341.85
7/1/1986,345.1
8/1/1986,361
9/1/1986,391.75
10/1/1986,425
11/1/1986,406.2
12/1/1986,395.55
1/1/1987,.
2/1/1987,406.75
3/1/1987,404.25
4/1/1987,418.75
5/1/1987,456.75
6/1/1987,442.9
7/1/1987,445.75
8/1/1987,472.75
9/1/1987,453.75
10/1/1987,454.9
11/1/1987,469.3
12/1/1987,487.8
1/1/1988,.
2/1/1988,452.7
3/1/1988,429.3
4/1/1988,.
5/1/1988,.
6/1/1988,456.75
7/1/1988,436.85
8/1/1988,434.6
9/1/1988,430.4
10/1/1988,396
11/1/1988,410.9
12/1/1988,424.75
1/1/1989,.
2/1/1989,392.8
3/1/1989,384.05
4/1/1989,385.45
5/1/1989,.
6/1/1989,361.4
7/1/1989,374.5
8/1/1989,369
9/1/1989,359.4
10/1/1989,366.5
11/1/1989,373.05
12/1/1989,413.85
1/1/1990,.
2/1/1990,415.8
3/1/1990,406.3
4/1/1990,368.4
5/1/1990,369.5
6/1/1990,363.45
7/1/1990,357.4
8/1/1990,370.65
9/1/1990,386.75
10/1/1990,396.3
11/1/1990,380.4
12/1/1990,380.65
1/1/1991,.
2/1/1991,364.5
3/1/1991,366.9
4/1/1991,.
5/1/1991,356.5
6/1/1991,363
7/1/1991,368.9
8/1/1991,363.4
9/1/1991,347.95
10/1/1991,353.95
11/1/1991,357.75
12/1/1991,368.35
1/1/1992,.
2/1/1992,356.4
3/1/1992,350.45
4/1/1992,344
5/1/1992,337.5
6/1/1992,336.85
7/1/1992,343.55
8/1/1992,354.05
9/1/1992,341.7
10/1/1992,348.55
11/1/1992,339.5
12/1/1992,334.65
1/1/1993,.
2/1/1993,329.75
3/1/1993,328.5
4/1/1993,336.35
5/1/1993,.
6/1/1993,377.35
7/1/1993,379
8/1/1993,405.6
9/1/1993,369.05
10/1/1993,354
11/1/1993,363.25
12/1/1993,373.1
1/1/1994,.
2/1/1994,381.65
3/1/1994,381.3
4/1/1994,.
5/1/1994,.
6/1/1994,386.3
7/1/1994,384.6
8/1/1994,383.85
9/1/1994,386
10/1/1994,393.15
11/1/1994,384.5
12/1/1994,380.1
1/1/1995,.
2/1/1995,376.25
3/1/1995,375.7
4/1/1995,392.3
5/1/1995,387.2
6/1/1995,383.5
7/1/1995,384.5
8/1/1995,382.85
9/1/1995,381.5
10/1/1995,383.25
11/1/1995,381.95
12/1/1995,386.2
1/1/1996,.
2/1/1996,409.1
3/1/1996,398.35
4/1/1996,394.2
5/1/1996,392.3
6/1/1996,390.7
7/1/1996,381.55
8/1/1996,386.25
9/1/1996,386.55
10/1/1996,378.65
11/1/1996,377.6
12/1/1996,370.75
1/1/1997,.
2/1/1997,344.3
3/1/1997,362.15
4/1/1997,350
5/1/1997,339.25
6/1/1997,343.9
7/1/1997,333.7
8/1/1997,324.1
9/1/1997,324.5
10/1/1997,337.15
11/1/1997,313.8
12/1/1997,294.35
1/1/1998,.
2/1/1998,301.5
3/1/1998,298.35
4/1/1998,301
5/1/1998,306.9
6/1/1998,288.75
7/1/1998,296.8
8/1/1998,286.15
9/1/1998,279
10/1/1998,297.6
11/1/1998,292.7
12/1/1998,293.3
1/1/1999,.
2/1/1999,286.9
3/1/1999,286.7
4/1/1999,280.55
5/1/1999,.
6/1/1999,266.85
7/1/1999,262.6
8/1/1999,255.35
9/1/1999,254.7
10/1/1999,307.5
11/1/1999,291.35
12/1/1999,289.15
1/1/2000,.
2/1/2000,283
3/1/2000,292.9
4/1/2000,277.5
5/1/2000,.
6/1/2000,272.5
7/1/2000,287.65
8/1/2000,277.6
9/1/2000,277
10/1/2000,273.1
11/1/2000,265.5
12/1/2000,269.2
1/1/2001,.
2/1/2001,267.65
3/1/2001,266.35
4/1/2001,255.95
5/1/2001,264
6/1/2001,265.4
7/1/2001,268.35
8/1/2001,267.35
9/1/2001,273.35
10/1/2001,290.6
11/1/2001,280.6
12/1/2001,276.35
1/1/2002,.
2/1/2002,283.9
3/1/2002,295.4
4/1/2002,.
5/1/2002,308.35
6/1/2002,.
7/1/2002,312.1
8/1/2002,302.25
9/1/2002,312
10/1/2002,321.75
11/1/2002,319.85
12/1/2002,316.45
1/1/2003,.
2/1/2003,369.5
3/1/2003,345.5
4/1/2003,334.35
5/1/2003,341.2
6/1/2003,364.75
7/1/2003,350.2
8/1/2003,352.35
9/1/2003,376.25
10/1/2003,383.5
11/1/2003,383.25
12/1/2003,400.25
1/1/2004,.
2/1/2004,398.35
3/1/2004,400
4/1/2004,427.25
5/1/2004,.
6/1/2004,397.2
7/1/2004,394.8
8/1/2004,391.5
9/1/2004,407.65
10/1/2004,418.1
11/1/2004,428.85
12/1/2004,452.85
1/1/2005,.
2/1/2005,420.9
3/1/2005,433.45
4/1/2005,427.15
